url,Aircraft Name,First Flight,Aircraft Engines
https://asn.flightsafety.org/database/type/C212,CASA/Nurtanio C-212 Aviocar, 1971, 2 Turboprop engines
https://asn.flightsafety.org/database/type/CN35,CASA/Nurtanio CN.235, 1983, 2 Turboprop engines
https://asn.flightsafety.org/database/type/C208,Cessna 208 Caravan, 1982, 1 Turboprop engine
https://asn.flightsafety.org/database/type/C500,Cessna 500 Citation I, 1969, 2 Jet engines
https://asn.flightsafety.org/database/type/C501,Cessna 501 Citation 1/SP, , 2 Jet engines
https://asn.flightsafety.org/database/type/C510,Cessna 510 Citation Mustang, 2005, 2 Jet engines
https://asn.flightsafety.org/database/type/C25M,Cessna 525 Citation M2, 2012, 2 Jet engines
https://asn.flightsafety.org/database/type/C25A,Cessna 525A CitationJet CJ2, 1999, 2 Jet engines
https://asn.flightsafety.org/database/type/C25B,Cessna 525B CitationJet CJ3, 2003, 2 Jet engines
https://asn.flightsafety.org/database/type/C25C,Cessna 525C Citation CJ4, , 2 Jet engines
https://asn.flightsafety.org/database/type/C525,Cessna 525 CitationJet, 1991, 2 Jet engines
https://asn.flightsafety.org/database/type/C55B,Cessna 550 Citation Bravo, 1995, 2 Jet engines
https://asn.flightsafety.org/database/type/C550,Cessna 550 Citation II, 1995, 2 Jet engines
https://asn.flightsafety.org/database/type/C551,Cessna 551 Citation, , 2 Jet engines
https://asn.flightsafety.org/database/type/C56X,Cessna 560 Citation Excel, 1996, 2 Jet engines
https://asn.flightsafety.org/database/type/C560,Cessna 560 Citation V, 1987, 2 Jet engines
https://asn.flightsafety.org/database/type/C650,Cessna 650 Citation III / VII, 1979, 2 Jet engines
https://asn.flightsafety.org/database/type/C680,Cessna 680 Citation Sovereign, 2002, 2 Jet engines
https://asn.flightsafety.org/database/type/C750,Cessna 750 Citation X, 1993, 2 Jet engines
https://asn.flightsafety.org/database/type/SF50,Cirrus Vision SF50, 2008, 1 Jet engine
https://asn.flightsafety.org/database/type/CAT,Consolidated PBY Catalina, 1941, 2 Piston engines
https://asn.flightsafety.org/database/type/CVLP,Convair CV-240/340/440, 1951, 2 Piston engines
https://asn.flightsafety.org/database/type/CVLT,Convair CV-580/600/640, 1954, 2 Turboprop engines
https://asn.flightsafety.org/database/type/cv88,Convair CV-880, 1959, 4 Jet engines
https://asn.flightsafety.org/database/type/CV99,Convair CV-990, 1961, 4 Jet engines
https://asn.flightsafety.org/database/type/C46,Curtiss C-46, 1940, 2 Piston engines
https://asn.flightsafety.org/database/type/FA10,Dassault Falcon 10/20, 1970, 2 Jet engines
https://asn.flightsafety.org/database/type/FA20,Dassault Falcon 20, 1963, 2 Jet engines
https://asn.flightsafety.org/database/type/F2TH,Dassault Falcon 2000, 1993, 2 Jet engines
https://asn.flightsafety.org/database/type/FA50,Dassault Falcon 50, 1976, 3 Jet engines
https://asn.flightsafety.org/database/type/FA7X,Dassault Falcon 7X, 2005, 3 Jet engines
https://asn.flightsafety.org/database/type/F900,Dassault Falcon 900, 1984, 3 Jet engines
https://asn.flightsafety.org/database/type/DHC3,de Havilland Canada DHC-3 Otter, 1951, 1 Piston engine
https://asn.flightsafety.org/database/type/DH3T,de Havilland Canada DHC-3T Turbine Otter, 1984, 1 Turboprop engine
